year	statename	statenum	countyname	countynum	capitalstock	capitalstock1902
1910.0	ALABAMA	10	CLAY	270		
1920.0	ALABAMA	10	CLAY	270		
1970.0	ALABAMA	10	CLAY	270		
1860.0	ALABAMA	10	CLEBURNE	290		
1870.0	ALABAMA	10	CLEBURNE	290	0	0
1880.0	ALABAMA	10	CLEBURNE	290	0	0
1890.0	ALABAMA	10	CLEBURNE	290	0	0
1900.0	ALABAMA	10	CLEBURNE	290	0	0
1910.0	ALABAMA	10	CLEBURNE	290		
1920.0	ALABAMA	10	CLEBURNE	290		
1970.0	ALABAMA	10	CLEBURNE	290		
1860.0	ALABAMA	10	COFFEE	310		
1870.0	ALABAMA	10	COFFEE	310	0	0
1880.0	ALABAMA	10	COFFEE	310	0	0
1890.0	ALABAMA	10	COFFEE	310	0	0
1900.0	ALABAMA	10	COFFEE	310	0	30
1910.0	ALABAMA	10	COFFEE	310		
1920.0	ALABAMA	10	COFFEE	310		
1970.0	ALABAMA	10	COFFEE	310		
1860.0	ALABAMA	10	COLBERT	330		
1870.0	ALABAMA	10	COLBERT	330	0	0
1880.0	ALABAMA	10	COLBERT	330	0	0
1890.0	ALABAMA	10	COLBERT	330	0	0
1900.0	ALABAMA	10	COLBERT	330	0	0
1910.0	ALABAMA	10	COLBERT	330		
1920.0	ALABAMA	10	COLBERT	330		
1970.0	ALABAMA	10	COLBERT	330		
1860.0	ALABAMA	10	CONECUH	350		
1870.0	ALABAMA	10	CONECUH	350	0	0
1880.0	ALABAMA	10	CONECUH	350	0	0
1890.0	ALABAMA	10	CONECUH	350	0	0
1900.0	ALABAMA	10	CONECUH	350	0	0
1910.0	ALABAMA	10	CONECUH	350		
1920.0	ALABAMA	10	CONECUH	350		
1970.0	ALABAMA	10	CONECUH	350		
1860.0	ALABAMA	10	COOSA	370		
1870.0	ALABAMA	10	COOSA	370	0	0
1880.0	ALABAMA	10	COOSA	370	0	0
1890.0	ALABAMA	10	COOSA	370	0	0
1900.0	ALABAMA	10	COOSA	370	0	0
1910.0	ALABAMA	10	COOSA	370		
1920.0	ALABAMA	10	COOSA	370		
1970.0	ALABAMA	10	COOSA	370		
1860.0	ALABAMA	10	COVINGTON	390		
1870.0	ALABAMA	10	COVINGTON	390	0	0
1880.0	ALABAMA	10	COVINGTON	390	0	0
1890.0	ALABAMA	10	COVINGTON	390	0	0
1900.0	ALABAMA	10	COVINGTON	390	0	50
1910.0	ALABAMA	10	COVINGTON	390		
1920.0	ALABAMA	10	COVINGTON	390		
1970.0	ALABAMA	10	COVINGTON	390		
1860.0	ALABAMA	10	CRENSHAW	410		
1870.0	ALABAMA	10	CRENSHAW	410	0	0
1880.0	ALABAMA	10	CRENSHAW	410	0	0
1890.0	ALABAMA	10	CRENSHAW	410	0	0
1900.0	ALABAMA	10	CRENSHAW	410	0	0
1910.0	ALABAMA	10	CRENSHAW	410		
1920.0	ALABAMA	10	CRENSHAW	410		
1970.0	ALABAMA	10	CRENSHAW	410		
1860.0	ALABAMA	10	CULLMAN	430		
1870.0	ALABAMA	10	CULLMAN	430	0	0
1880.0	ALABAMA	10	CULLMAN	430	0	0
1890.0	ALABAMA	10	CULLMAN	430	0	0
1900.0	ALABAMA	10	CULLMAN	430	0	0
1910.0	ALABAMA	10	CULLMAN	430		
1920.0	ALABAMA	10	CULLMAN	430		
1970.0	ALABAMA	10	CULLMAN	430		
1860.0	ALABAMA	10	DALE	450		
1870.0	ALABAMA	10	DALE	450	0	0
1880.0	ALABAMA	10	DALE	450	0	0
1890.0	ALABAMA	10	DALE	450	0	0
1900.0	ALABAMA	10	DALE	450	0	0
1910.0	ALABAMA	10	DALE	450		
1920.0	ALABAMA	10	DALE	450		
1970.0	ALABAMA	10	DALE	450		
1860.0	ALABAMA	10	DALLAS	470		
1870.0	ALABAMA	10	DALLAS	470	0	0
1880.0	ALABAMA	10	DALLAS	470	300	300
1890.0	ALABAMA	10	DALLAS	470	400	400
1900.0	ALABAMA	10	DALLAS	470	400	400
1910.0	ALABAMA	10	DALLAS	470		
1920.0	ALABAMA	10	DALLAS	470		
1970.0	ALABAMA	10	DALLAS	470		
1860.0	ALABAMA	10	DEKALB	490		
1870.0	ALABAMA	10	DEKALB	490	0	0
1880.0	ALABAMA	10	DEKALB	490	0	0
1890.0	ALABAMA	10	DEKALB	490	50	50
1900.0	ALABAMA	10	DEKALB	490	0	0
1910.0	ALABAMA	10	DEKALB	490		
1920.0	ALABAMA	10	DEKALB	490		
1970.0	ALABAMA	10	DEKALB	490		
1860.0	ALABAMA	10	ELMORE	510		
1870.0	ALABAMA	10	ELMORE	510	0	0
1880.0	ALABAMA	10	ELMORE	510	0	0
1890.0	ALABAMA	10	ELMORE	510	0	0
1900.0	ALABAMA	10	ELMORE	510	0	0
1910.0	ALABAMA	10	ELMORE	510		
1920.0	ALABAMA	10	ELMORE	510		
1970.0	ALABAMA	10	ELMORE	510		
1860.0	ALABAMA	10	ESCAMBIA	530		
1870.0	ALABAMA	10	ESCAMBIA	530	0	0
1880.0	ALABAMA	10	ESCAMBIA	530	0	0
1890.0	ALABAMA	10	ESCAMBIA	530	0	0
1900.0	ALABAMA	10	ESCAMBIA	530	0	0
1910.0	ALABAMA	10	ESCAMBIA	530		
1920.0	ALABAMA	10	ESCAMBIA	530		
1970.0	ALABAMA	10	ESCAMBIA	530		
1860.0	ALABAMA	10	ETOWAH	550		
1870.0	ALABAMA	10	ETOWAH	550	0	0
1880.0	ALABAMA	10	ETOWAH	550	0	0
1890.0	ALABAMA	10	ETOWAH	550	50	50
1900.0	ALABAMA	10	ETOWAH	550	50	50
1910.0	ALABAMA	10	ETOWAH	550		
1920.0	ALABAMA	10	ETOWAH	550		
1970.0	ALABAMA	10	ETOWAH	550		
1860.0	ALABAMA	10	FAYETTE	570		
1870.0	ALABAMA	10	FAYETTE	570	0	0
1880.0	ALABAMA	10	FAYETTE	570	0	0
1890.0	ALABAMA	10	FAYETTE	570	0	0
1900.0	ALABAMA	10	FAYETTE	570	0	0
1910.0	ALABAMA	10	FAYETTE	570		
1920.0	ALABAMA	10	FAYETTE	570		
1970.0	ALABAMA	10	FAYETTE	570		
1860.0	ALABAMA	10	FRANKLIN	590		
1870.0	ALABAMA	10	FRANKLIN	590	0	0
1880.0	ALABAMA	10	FRANKLIN	590	0	0
1890.0	ALABAMA	10	FRANKLIN	590	0	0
1900.0	ALABAMA	10	FRANKLIN	590	0	0
1910.0	ALABAMA	10	FRANKLIN	590		
1920.0	ALABAMA	10	FRANKLIN	590		
1970.0	ALABAMA	10	FRANKLIN	590		
1860.0	ALABAMA	10	GENEVA	610		
1870.0	ALABAMA	10	GENEVA	610	0	0
1880.0	ALABAMA	10	GENEVA	610	0	0
1890.0	ALABAMA	10	GENEVA	610	0	0
1900.0	ALABAMA	10	GENEVA	610	0	25
1910.0	ALABAMA	10	GENEVA	610		
1920.0	ALABAMA	10	GENEVA	610		
1970.0	ALABAMA	10	GENEVA	610		
1860.0	ALABAMA	10	GREENE	630		
1870.0	ALABAMA	10	GREENE	630	0	0
1880.0	ALABAMA	10	GREENE	630	0	0
1890.0	ALABAMA	10	GREENE	630	50	50
1900.0	ALABAMA	10	GREENE	630	50	50
1910.0	ALABAMA	10	GREENE	630		
1920.0	ALABAMA	10	GREENE	630		
1970.0	ALABAMA	10	GREENE	630		
1860.0	ALABAMA	10	HALE	650		
1870.0	ALABAMA	10	HALE	650	0	0
1880.0	ALABAMA	10	HALE	650	0	0
1890.0	ALABAMA	10	HALE	650	0	0
1900.0	ALABAMA	10	HALE	650	0	50
1910.0	ALABAMA	10	HALE	650		
1920.0	ALABAMA	10	HALE	650		
1970.0	ALABAMA	10	HALE	650		
1860.0	ALABAMA	10	HENRY	670		
1870.0	ALABAMA	10	HENRY	670	0	0
1880.0	ALABAMA	10	HENRY	670	0	0
1890.0	ALABAMA	10	HENRY	670	0	0
1900.0	ALABAMA	10	HENRY	670	50	185
1910.0	ALABAMA	10	HENRY	670		
1920.0	ALABAMA	10	HENRY	670		
1970.0	ALABAMA	10	HENRY	670		
1860.0	ALABAMA	10	JACKSON	710		
1870.0	ALABAMA	10	JACKSON	710	0	0
1880.0	ALABAMA	10	JACKSON	710	0	0
1890.0	ALABAMA	10	JACKSON	710	0	0
1900.0	ALABAMA	10	JACKSON	710	0	0
1910.0	ALABAMA	10	JACKSON	710		
1920.0	ALABAMA	10	JACKSON	710		
1970.0	ALABAMA	10	JACKSON	710		
1860.0	ALABAMA	10	JEFFERSON	730		
1870.0	ALABAMA	10	JEFFERSON	730	0	0
1880.0	ALABAMA	10	JEFFERSON	730	50	50
1890.0	ALABAMA	10	JEFFERSON	730	1700	1700
1900.0	ALABAMA	10	JEFFERSON	730	650	500
1910.0	ALABAMA	10	JEFFERSON	730		
1920.0	ALABAMA	10	JEFFERSON	730		
1970.0	ALABAMA	10	JEFFERSON	730		
1860.0	ALABAMA	10	LAMAR	750		
1870.0	ALABAMA	10	LAMAR	750	0	0
1880.0	ALABAMA	10	LAMAR	750	0	0
1890.0	ALABAMA	10	LAMAR	750	0	0
1900.0	ALABAMA	10	LAMAR	750	0	0
1910.0	ALABAMA	10	LAMAR	750		
1920.0	ALABAMA	10	LAMAR	750		
1970.0	ALABAMA	10	LAMAR	750		
1860.0	ALABAMA	10	LAUDERDALE	770		
1870.0	ALABAMA	10	LAUDERDALE	770	0	0
1880.0	ALABAMA	10	LAUDERDALE	770	0	0
1890.0	ALABAMA	10	LAUDERDALE	770	150	150
1900.0	ALABAMA	10	LAUDERDALE	770	100	100
1910.0	ALABAMA	10	LAUDERDALE	770		
1920.0	ALABAMA	10	LAUDERDALE	770		
1970.0	ALABAMA	10	LAUDERDALE	770		
1860.0	ALABAMA	10	LAWRENCE	790		
1870.0	ALABAMA	10	LAWRENCE	790	0	0
1880.0	ALABAMA	10	LAWRENCE	790	0	0
1890.0	ALABAMA	10	LAWRENCE	790	0	0
1900.0	ALABAMA	10	LAWRENCE	790	0	0
1910.0	ALABAMA	10	LAWRENCE	790		
1920.0	ALABAMA	10	LAWRENCE	790		
1970.0	ALABAMA	10	LAWRENCE	790		
1860.0	ALABAMA	10	LEE	810		
1870.0	ALABAMA	10	LEE	810	0	0
1880.0	ALABAMA	10	LEE	810	0	0
1890.0	ALABAMA	10	LEE	810	50	50
1900.0	ALABAMA	10	LEE	810	100	100
1910.0	ALABAMA	10	LEE	810		
1920.0	ALABAMA	10	LEE	810		
1970.0	ALABAMA	10	LEE	810		
1860.0	ALABAMA	10	LIMESTONE	830		
1870.0	ALABAMA	10	LIMESTONE	830	0	0
1880.0	ALABAMA	10	LIMESTONE	830	0	0
1890.0	ALABAMA	10	LIMESTONE	830	0	0
1900.0	ALABAMA	10	LIMESTONE	830	0	25
1910.0	ALABAMA	10	LIMESTONE	830		
1920.0	ALABAMA	10	LIMESTONE	830		
1970.0	ALABAMA	10	LIMESTONE	830		
1860.0	ALABAMA	10	LOWNDES	850		
1870.0	ALABAMA	10	LOWNDES	850	0	0
1880.0	ALABAMA	10	LOWNDES	850	0	0
1890.0	ALABAMA	10	LOWNDES	850	0	0
1900.0	ALABAMA	10	LOWNDES	850	0	0
1910.0	ALABAMA	10	LOWNDES	850		
1920.0	ALABAMA	10	LOWNDES	850		
1970.0	ALABAMA	10	LOWNDES	850		
1860.0	ALABAMA	10	MACON	870		
1870.0	ALABAMA	10	MACON	870	0	0
1880.0	ALABAMA	10	MACON	870	0	0
1890.0	ALABAMA	10	MACON	870	0	0
1900.0	ALABAMA	10	MACON	870	0	0
1910.0	ALABAMA	10	MACON	870		
1920.0	ALABAMA	10	MACON	870		
1970.0	ALABAMA	10	MACON	870		
1860.0	ALABAMA	10	MADISON	890		
1870.0	ALABAMA	10	MADISON	890	100	100
1880.0	ALABAMA	10	MADISON	890	100	100
1890.0	ALABAMA	10	MADISON	890	125	125
1900.0	ALABAMA	10	MADISON	890	200	200
1910.0	ALABAMA	10	MADISON	890		
1920.0	ALABAMA	10	MADISON	890		
1970.0	ALABAMA	10	MADISON	890		
1860.0	ALABAMA	10	MARENGO	910		
1870.0	ALABAMA	10	MARENGO	910	0	0
1880.0	ALABAMA	10	MARENGO	910	0	0
1890.0	ALABAMA	10	MARENGO	910	50	50
1900.0	ALABAMA	10	MARENGO	910	50	50
1910.0	ALABAMA	10	MARENGO	910		
1920.0	ALABAMA	10	MARENGO	910		
1970.0	ALABAMA	10	MARENGO	910		
1860.0	ALABAMA	10	MARION	930		
1870.0	ALABAMA	10	MARION	930	0	0
1880.0	ALABAMA	10	MARION	930	0	0
1890.0	ALABAMA	10	MARION	930	0	0
1900.0	ALABAMA	10	MARION	930	0	0
1910.0	ALABAMA	10	MARION	930		
1920.0	ALABAMA	10	MARION	930		
1970.0	ALABAMA	10	MARION	930		
1860.0	ALABAMA	10	MARSHALL	950		
1870.0	ALABAMA	10	MARSHALL	950	0	0
1880.0	ALABAMA	10	MARSHALL	950	0	0
1890.0	ALABAMA	10	MARSHALL	950	0	0
1900.0	ALABAMA	10	MARSHALL	950	0	0
1910.0	ALABAMA	10	MARSHALL	950		
1920.0	ALABAMA	10	MARSHALL	950		
1970.0	ALABAMA	10	MARSHALL	950		
1860.0	ALABAMA	10	MOBILE	970		
1870.0	ALABAMA	10	MOBILE	970	300	300
1880.0	ALABAMA	10	MOBILE	970	600	600
1890.0	ALABAMA	10	MOBILE	970	450	450
1900.0	ALABAMA	10	MOBILE	970	500	500
1910.0	ALABAMA	10	MOBILE	970		
1920.0	ALABAMA	10	MOBILE	970		
1970.0	ALABAMA	10	MOBILE	970		
1860.0	ALABAMA	10	MONROE	990		
1870.0	ALABAMA	10	MONROE	990	0	0
1880.0	ALABAMA	10	MONROE	990	0	0
1890.0	ALABAMA	10	MONROE	990	0	0
1900.0	ALABAMA	10	MONROE	990	0	0
1910.0	ALABAMA	10	MONROE	990		
1920.0	ALABAMA	10	MONROE	990		
1970.0	ALABAMA	10	MONROE	990		
1860.0	ALABAMA	10	MONTGOMERY	1010		
1870.0	ALABAMA	10	MONTGOMERY	1010	0	0
1880.0	ALABAMA	10	MONTGOMERY	1010	350	350
1890.0	ALABAMA	10	MONTGOMERY	1010	425	425
1900.0	ALABAMA	10	MONTGOMERY	1010	575	675
1910.0	ALABAMA	10	MONTGOMERY	1010		
1920.0	ALABAMA	10	MONTGOMERY	1010		
1970.0	ALABAMA	10	MONTGOMERY	1010		
1860.0	ALABAMA	10	MORGAN	1030		
1870.0	ALABAMA	10	MORGAN	1030	0	0
1880.0	ALABAMA	10	MORGAN	1030	0	0
1890.0	ALABAMA	10	MORGAN	1030	100	100
1900.0	ALABAMA	10	MORGAN	1030	50	100
1910.0	ALABAMA	10	MORGAN	1030		
1920.0	ALABAMA	10	MORGAN	1030		
1970.0	ALABAMA	10	MORGAN	1030		
1860.0	ALABAMA	10	PERRY	1050		
1870.0	ALABAMA	10	PERRY	1050	0	0
1880.0	ALABAMA	10	PERRY	1050	0	0
1890.0	ALABAMA	10	PERRY	1050	0	0
1900.0	ALABAMA	10	PERRY	1050	0	0
1910.0	ALABAMA	10	PERRY	1050		
1920.0	ALABAMA	10	PERRY	1050		
1970.0	ALABAMA	10	PERRY	1050		
1860.0	ALABAMA	10	PICKENS	1070		
1870.0	ALABAMA	10	PICKENS	1070	0	0
1880.0	ALABAMA	10	PICKENS	1070	0	0
1890.0	ALABAMA	10	PICKENS	1070	0	0
1900.0	ALABAMA	10	PICKENS	1070	0	0
1910.0	ALABAMA	10	PICKENS	1070		
1920.0	ALABAMA	10	PICKENS	1070		
1970.0	ALABAMA	10	PICKENS	1070		
1860.0	ALABAMA	10	PIKE	1090		
1870.0	ALABAMA	10	PIKE	1090	0	0
1880.0	ALABAMA	10	PIKE	1090	0	0
1890.0	ALABAMA	10	PIKE	1090	0	0
1900.0	ALABAMA	10	PIKE	1090	0	50
1910.0	ALABAMA	10	PIKE	1090		
1920.0	ALABAMA	10	PIKE	1090		
1970.0	ALABAMA	10	PIKE	1090		
1860.0	ALABAMA	10	RANDOLPH	1110		
1870.0	ALABAMA	10	RANDOLPH	1110	0	0
1880.0	ALABAMA	10	RANDOLPH	1110	0	0
1890.0	ALABAMA	10	RANDOLPH	1110	0	0
1900.0	ALABAMA	10	RANDOLPH	1110	0	0
1910.0	ALABAMA	10	RANDOLPH	1110		
1920.0	ALABAMA	10	RANDOLPH	1110		
1970.0	ALABAMA	10	RANDOLPH	1110		
1860.0	ALABAMA	10	RUSSELL	1130		
1870.0	ALABAMA	10	RUSSELL	1130	0	0
1880.0	ALABAMA	10	RUSSELL	1130	0	0
1890.0	ALABAMA	10	RUSSELL	1130	0	0
1900.0	ALABAMA	10	RUSSELL	1130	0	0
1910.0	ALABAMA	10	RUSSELL	1130		
1920.0	ALABAMA	10	RUSSELL	1130		
1970.0	ALABAMA	10	RUSSELL	1130		
1860.0	ALABAMA	10	ST CLAIR	1150		
1870.0	ALABAMA	10	ST CLAIR	1150	0	0
1880.0	ALABAMA	10	ST CLAIR	1150	0	0
1890.0	ALABAMA	10	ST CLAIR	1150	0	0
1900.0	ALABAMA	10	ST CLAIR	1150	0	0
1910.0	ALABAMA	10	ST CLAIR	1150		
1920.0	ALABAMA	10	ST CLAIR	1150		
1970.0	ALABAMA	10	ST CLAIR	1150		
1860.0	ALABAMA	10	SHELBY	1170		
1870.0	ALABAMA	10	SHELBY	1170	0	0
1880.0	ALABAMA	10	SHELBY	1170	0	0
1890.0	ALABAMA	10	SHELBY	1170	0	0
1900.0	ALABAMA	10	SHELBY	1170	0	0
1910.0	ALABAMA	10	SHELBY	1170		
1920.0	ALABAMA	10	SHELBY	1170		
1970.0	ALABAMA	10	SHELBY	1170		
1860.0	ALABAMA	10	SUMTER	1190		
1870.0	ALABAMA	10	SUMTER	1190	0	0
1880.0	ALABAMA	10	SUMTER	1190	0	0
1890.0	ALABAMA	10	SUMTER	1190	0	0
1900.0	ALABAMA	10	SUMTER	1190	0	0
1910.0	ALABAMA	10	SUMTER	1190		
1920.0	ALABAMA	10	SUMTER	1190		
1970.0	ALABAMA	10	SUMTER	1190		
1860.0	ALABAMA	10	TALLADEGA	1210		
1870.0	ALABAMA	10	TALLADEGA	1210	0	0
1880.0	ALABAMA	10	TALLADEGA	1210	0	0
1890.0	ALABAMA	10	TALLADEGA	1210	50	50
1900.0	ALABAMA	10	TALLADEGA	1210	100	100
1910.0	ALABAMA	10	TALLADEGA	1210		
1920.0	ALABAMA	10	TALLADEGA	1210		
1970.0	ALABAMA	10	TALLADEGA	1210		
1860.0	ALABAMA	10	TALLAPOOSA	1230		
1870.0	ALABAMA	10	TALLAPOOSA	1230	0	0
1880.0	ALABAMA	10	TALLAPOOSA	1230	0	0
1890.0	ALABAMA	10	TALLAPOOSA	1230	0	0
1900.0	ALABAMA	10	TALLAPOOSA	1230	0	0
1910.0	ALABAMA	10	TALLAPOOSA	1230		
1920.0	ALABAMA	10	TALLAPOOSA	1230		
1970.0	ALABAMA	10	TALLAPOOSA	1230		
1860.0	ALABAMA	10	TUSCALOOSA	1250		
1870.0	ALABAMA	10	TUSCALOOSA	1250	0	0
1880.0	ALABAMA	10	TUSCALOOSA	1250	60	60
1890.0	ALABAMA	10	TUSCALOOSA	1250	160	160
1900.0	ALABAMA	10	TUSCALOOSA	1250	110	220
1910.0	ALABAMA	10	TUSCALOOSA	1250		
1920.0	ALABAMA	10	TUSCALOOSA	1250		
1970.0	ALABAMA	10	TUSCALOOSA	1250		
1860.0	ALABAMA	10	WALKER	1270		
1870.0	ALABAMA	10	WALKER	1270	0	0
1880.0	ALABAMA	10	WALKER	1270	0	0
1890.0	ALABAMA	10	WALKER	1270	0	0
1900.0	ALABAMA	10	WALKER	1270	0	0
1910.0	ALABAMA	10	WALKER	1270		
1920.0	ALABAMA	10	WALKER	1270		
1970.0	ALABAMA	10	WALKER	1270		
1860.0	ALABAMA	10	WASHINGTON	1290		
1870.0	ALABAMA	10	WASHINGTON	1290	0	0
1880.0	ALABAMA	10	WASHINGTON	1290	0	0
1890.0	ALABAMA	10	WASHINGTON	1290	0	0
1900.0	ALABAMA	10	WASHINGTON	1290	0	0
1910.0	ALABAMA	10	WASHINGTON	1290		
1920.0	ALABAMA	10	WASHINGTON	1290		
1970.0	ALABAMA	10	WASHINGTON	1290		
1860.0	ALABAMA	10	WILCOX	1310		
1870.0	ALABAMA	10	WILCOX	1310	0	0
1880.0	ALABAMA	10	WILCOX	1310	0	0
1890.0	ALABAMA	10	WILCOX	1310	0	0
1900.0	ALABAMA	10	WILCOX	1310	0	0
1910.0	ALABAMA	10	WILCOX	1310		
1920.0	ALABAMA	10	WILCOX	1310		
1970.0	ALABAMA	10	WILCOX	1310		
1860.0	ALABAMA	10	WINSTON	1330		
1870.0	ALABAMA	10	WINSTON	1330	0	0
1880.0	ALABAMA	10	WINSTON	1330	0	0
1890.0	ALABAMA	10	WINSTON	1330	0	0
1900.0	ALABAMA	10	WINSTON	1330	0	0
1910.0	ALABAMA	10	WINSTON	1330		
1920.0	ALABAMA	10	WINSTON	1330		
1970.0	ALABAMA	10	WINSTON	1330		
1860.0	ARIZONA TERRITORY	45	APACHE	15		
1870.0	ARIZONA TERRITORY	45	APACHE	15	0	0
1880.0	ARIZONA TERRITORY	45	APACHE	15	0	0
1890.0	ARIZONA TERRITORY	45	APACHE	15	0	0
1900.0	ARIZONA TERRITORY	45	APACHE	15	0	0
1910.0	ARIZONA TERRITORY	45	APACHE	15		
1920.0	ARIZONA TERRITORY	45	APACHE	15		
1970.0	ARIZONA TERRITORY	45	APACHE	15		
1860.0	ARIZONA TERRITORY	45	COCHISE	35		
1870.0	ARIZONA TERRITORY	45	COCHISE	35	0	0
1880.0	ARIZONA TERRITORY	45	COCHISE	35	0	0
1890.0	ARIZONA TERRITORY	45	COCHISE	35	0	0
1900.0	ARIZONA TERRITORY	45	COCHISE	35	0	0
1910.0	ARIZONA TERRITORY	45	COCHISE	35		
1920.0	ARIZONA TERRITORY	45	COCHISE	35		
1970.0	ARIZONA TERRITORY	45	COCHISE	35		
1860.0	ARIZONA TERRITORY	45	GILA	75		
1870.0	ARIZONA TERRITORY	45	GILA	75	0	0
1880.0	ARIZONA TERRITORY	45	GILA	75	0	0
